,name,url
0,Sweet Sticky Rice with Mangoes,https://www.allrecipes.com/recipe/219490/sweet-sticky-rice-with-mangoes/
1,Sweetened Bananas in Coconut Milk,https://www.allrecipes.com/recipe/213822/sweetened-bananas-in-coconut-milk/
2,Thai Fried Bananas,https://www.allrecipes.com/recipe/23579/thai-fried-bananas/
3,Tender Taro Root Cooked in Coconut Milk,https://www.allrecipes.com/recipe/213819/tender-taro-root-cooked-in-coconut-milk/
4,Thai Sticky Black Rice Pudding,https://www.allrecipes.com/recipe/268074/thai-sticky-black-rice-pudding/
5,Mango with Sticky Coconut Rice (Kao Niaw),https://www.allrecipes.com/recipe/236476/mango-with-sticky-coconut-rice-kao-niaw/
6,Pancit Sotanghon,https://www.allrecipes.com/recipe/262431/pancit-sotanghon/
7,Thai Steamed Banana Cake,https://www.allrecipes.com/recipe/213814/thai-steamed-banana-cake/
8,Thai Coconut and Cocoa Macaroons,https://www.allrecipes.com/recipe/213818/thai-coconut-and-cocoa-macaroons/
9,Black Rice Pudding,https://www.allrecipes.com/recipe/59822/black-rice-pudding/
10,Low-Calorie Vegetarian Filipino Pancit,https://www.allrecipes.com/recipe/264201/low-calorie-vegetarian-filipino-pancit/
11,Sticky Rice with Coconut Milk and Mango,https://www.allrecipes.com/recipe/244621/sticky-rice-with-coconut-milk-and-mango/
12,Sweet Sticky Rice and Mango,https://www.allrecipes.com/recipe/266096/sweet-sticky-rice-and-mango/
13,Pancit Luglug,https://www.allrecipes.com/recipe/212998/pancit-luglug/
14,Steamed Pandan Tapioca Pearl Cakes,https://www.allrecipes.com/recipe/213813/steamed-pandan-tapioca-pearl-cakes/
15,Sweet Rice and Mango,https://www.allrecipes.com/recipe/71896/sweet-rice-and-mango/
16,Pancit Molo Wrappers,https://www.allrecipes.com/recipe/212996/pancit-molo-wrappers/
17,Sankaya (Thai Pandan Pudding),https://www.allrecipes.com/recipe/272529/sankaya-thai-pandan-pudding/
18,Mung Beans Cooked in Sweet Syrup,https://www.allrecipes.com/recipe/213986/mung-beans-cooked-in-sweet-syrup/
19,Yellow Mung Bean Pudding with Coconut Cream,https://www.allrecipes.com/recipe/213802/yellow-mung-bean-pudding-with-coconut-cream/
20,Easy Thai Mango Sticky Rice,https://www.allrecipes.com/recipe/282255/easy-thai-mango-sticky-rice/
21,Egg and Coconut Custard Jellies,https://www.allrecipes.com/recipe/213990/egg-and-coconut-custard-jellies/
22,Thai-Style Steamed Pandan Pudding,https://www.allrecipes.com/recipe/213810/thai-style-steamed-pandan-pudding/
23,Thai-Style Steamed Tapioca Cake,https://www.allrecipes.com/recipe/213808/thai-style-steamed-tapioca-cake/
24,Sweet Corn Pudding,https://www.allrecipes.com/recipe/213957/sweet-corn-pudding/
25,Pandan Spread,https://www.allrecipes.com/recipe/213945/pandan-spread/
26,Candied Kai Bananas in Syrup and Coconut Cream,https://www.allrecipes.com/recipe/245358/candied-kai-bananas-in-syrup-and-coconut-cream/
27,Pandan Coconut Rice Balls,https://www.allrecipes.com/recipe/213924/pandan-coconut-rice-balls/
28,Poached Eggs in Ginger Syrup,https://www.allrecipes.com/recipe/213948/poached-eggs-in-ginger-syrup/
29,Tapioca Pudding with Tender Coconut,https://www.allrecipes.com/recipe/213820/tapioca-pudding-with-tender-coconut/
30,Thai-Style Steamed Pumpkin Cake,https://www.allrecipes.com/recipe/213809/thai-style-steamed-pumpkin-cake/
31,Anne's Chicken Chilaquiles Rojas,https://www.allrecipes.com/recipe/279677/annes-chicken-chilaquiles-rojas/
32,Quick Black Bean Chilaquiles,https://www.allrecipes.com/recipe/279777/quick-black-bean-chilaquiles/
33,Breakfast Chilaquiles,https://www.allrecipes.com/recipe/257966/breakfast-chilaquiles/
34,Verde Chilaquiles,https://www.allrecipes.com/recipe/222455/verde-chilaquiles/
35,Chilaquiles Scramble,https://www.allrecipes.com/recipe/264503/chilaquiles-scramble/
36,Chilaquiles III,https://www.allrecipes.com/recipe/49613/chilaquiles-iii/
37,Chicken Chilaquiles,https://www.allrecipes.com/recipe/147633/chicken-chilaquiles/
38,Easy Chilaquiles,https://www.allrecipes.com/recipe/257967/easy-chilaquiles/
39,Chicken Chilaquiles Casserole,https://www.allrecipes.com/recipe/219865/chicken-chilaquiles-casserole/
40,Jollyrogers' Chilaquiles,https://www.allrecipes.com/recipe/183179/jollyrogers-chilaquiles/
41,Super Easy Chilaquiles,https://www.allrecipes.com/recipe/271115/super-easy-chilaquiles/
42,Easy Microwave Chilaquiles,https://www.allrecipes.com/recipe/67394/easy-microwave-chilaquiles/
43,Chilaquiles,https://www.allrecipes.com/recipe/257968/chilaquiles/
44,Turkey Chilaquiles,https://www.allrecipes.com/recipe/264504/turkey-chilaquiles/
45,Sunday Morning Chilaquiles,https://www.allrecipes.com/recipe/231142/sunday-morning-chilaquiles/
46,Pulled Pork Chilaquiles,https://www.allrecipes.com/recipe/258444/pulled-pork-chilaquiles/
47,Easy Chilaquiles Verdes,https://www.allrecipes.com/recipe/271116/easy-chilaquiles-verdes/
48,Blue Corn Chilaquiles,https://www.allrecipes.com/recipe/264505/blue-corn-chilaquiles/
49,Jalisco-Style Chilaquiles,https://www.allrecipes.com/recipe/264532/jalisco-style-chilaquiles/
50,Mexican Pumpkin Empanadas,https://www.allrecipes.com/recipe/216489/mexican-pumpkin-empanadas/
51,Empanadas de Pina (Pineapple Pastry Cookies),https://www.allrecipes.com/recipe/76394/empanadas-de-pina-pineapple-pastry-cookies/
52,Baked Apple Empanadas,https://www.allrecipes.com/recipe/277245/baked-apple-empanadas/
53,Empanada Pork Filling,https://www.allrecipes.com/recipe/212955/empanada-pork-filling/
54,Easy Mushroom-Goat Cheese Empanadas,https://www.allrecipes.com/recipe/82065/easy-mushroom-goat-cheese-empanadas/
55,Authentic Chicken Empanadas (Empanadas de Pollo),https://www.allrecipes.com/recipe/277495/authentic-chicken-empanadas-empanadas-de-pollo/
